Lat_Lon,Crime_Rating
"(40.701488814, -74.012544968)",64.1
"(40.701541003, -74.012191538)",53.199999999999996
"(40.701541003000045, -74.01219153799997)",14.2
"(40.701557457, -74.012321377)",15.5
"(40.701694767, -74.011628946)",7.1
"(40.70169476700005, -74.01162894599996)",14.2
"(40.70179088, -74.011167324)",66.2
"(40.702042845, -74.015877538)",7.1
"(40.702273406, -74.015873986)",21.4
"(40.702378244, -74.011336931)",34.0
"(40.70237824400005, -74.01133693099996)",13.0
"(40.702397255, -74.013233996)",7.1
"(40.70239725500005, -74.01323399599994)",8.5
"(40.702416514, -74.012826457)",71.2
"(40.70241651400005, -74.01282645699997)",7.1
"(40.702556525, -74.012570415)",67.3
"(40.702671771, -74.012880605)",21.2
"(40.702751212, -74.014215063)",14.1
"(40.70275121200007, -74.01421506299994)",7.0
"(40.702765151000044, -74.01234323899996)",7.1
"(40.70284754, -74.011921281)",21.1
"(40.70284754000005, -74.01192128099996)",8.5
"(40.70295453, -74.012440653)",9.2
"(40.702968351, -74.011506542)",34.6
"(40.70296835100004, -74.01150654199995)",11.5
"(40.703108175, -74.012999708)",22.6
"(40.703122115, -74.010925902)",7.1
"(40.703160155, -74.014431547)",40.8
"(40.703325484, -74.007766526)",15.5
"(40.70332548400006, -74.00776652599995)",7.0
"(40.703352453, -74.013057461)",11.6
"(40.703382484, -74.014413562)",15.7
"(40.70338248400003, -74.01441356199997)",15.5
"(40.703585914, -74.011596816)",14.3
"(40.703591325, -74.012354212)",7.2
"(40.70359132500005, -74.01235421199993)",8.5
"(40.70359673, -74.013115216)",42.4
"(40.70359673000007, -74.01311521599996)",4.5
"(40.703607557, -74.014391971)",11.6
"(40.703607557000055, -74.01439197099995)",27.1
"(40.703684905, -74.009667273)",24.1
"(40.703684905000046, -74.00966727299993)",15.5
"(40.703759203, -74.007048852)",6.4
"(40.703824542, -74.013151327)",18.5
"(40.70382454200006, -74.01315132699995)",7.0
"(40.704027823, -74.011578859)",11.5
"(40.70402782300005, -74.01157885899994)",7.1
"(40.704038719, -74.012383149)",23.299999999999997
"(40.704052353, -74.013187438)",16.0
"(40.70408844, -74.008985671)",20.0
"(40.70408844000008, -74.00898567099993)",14.0
"(40.704173446, -74.009977519)",24.1
"(40.70417344600002, -74.00997751899997)",7.1
"(40.704220204, -74.008790928)",21.9
"(40.704258385, -74.011571686)",7.0
"(40.704291648, -74.007672865)",7.1
"(40.704294481, -74.006212157)",133.8
"(40.704307612, -74.013230769)",21.0
"(40.70431349200004, -74.00922374299995)",4.5
"(40.704324374, -74.01035985)",16.299999999999997
"(40.70436036, -74.006111176)",22.6
"(40.704450789, -74.008459142)",21.3
"(40.70445078900008, -74.00845914199994)",4.5
"(40.704455705, -74.01426592)",7.0
"(40.70445570500005, -74.01426591999996)",7.1
"(40.704494435, -74.011564514)",11.6
"(40.704535998, -74.006598097)",8.5
