,Lat_Lon,Crime_Rating
0,"(40.748229735000045, -74.00747942899994)",1.101375
1,"(40.73856130300004, -73.98042511899997)",1.101375
2,"(40.74536440900005, -73.99658381199998)",1.101375
3,"(40.763742526000044, -73.96206496499997)",1.101375
4,"(40.73864189500005, -73.98759166399999)",1.101375
5,"(40.80548855400008, -73.93450922199997)",1.101375
6,"(40.722680550000064, -73.98296598199995)",1.101375
7,"(40.772789413000055, -73.96273856599998)",1.101375
8,"(40.745308814000055, -73.98684698899994)",1.101375
9,"(40.76704623000006, -73.95210286199995)",1.101375
10,"(40.77848436100004, -73.98545031499998)",1.101375
11,"(40.77468793200006, -73.98220169699994)",1.101375
12,"(40.77466369500007, -73.95409398799995)",1.101375
13,"(40.72256377600007, -74.00140483199993)",1.101375
14,"(40.760998192000045, -73.97331091699994)",1.101375
15,"(40.766938846, -73.966723755)",1.101375
16,"(40.73876320100004, -74.00549727099997)",1.101375
17,"(40.805859314, -73.934902586)",1.101375
18,"(40.722363220000034, -73.99326233299998)",1.101375
19,"(40.822649427, -73.953211808)",1.101375
20,"(40.76688284900007, -73.99019287699997)",1.101375
21,"(40.72233536700002, -74.01177685399993)",1.101375
22,"(40.722335367, -74.011776854)",1.101375
23,"(40.722574558, -73.993114396)",1.101375
24,"(40.823468467, -73.949352394)",1.101375
25,"(40.77269844300002, -73.96153996699996)",1.101375
26,"(40.75157857, -73.999575558)",1.101375
27,"(40.76740891000002, -73.98238053699998)",1.101375
28,"(40.76740105, -73.970730738)",1.101375
29,"(40.78678598800008, -73.97792646899995)",1.101375
30,"(40.786785988, -73.977926469)",1.101375
31,"(40.763653290000036, -73.97768866099993)",1.101375
32,"(40.72352124100007, -74.01034479599997)",1.101375
33,"(40.75729380000007, -73.97811671899994)",1.101375
34,"(40.71243540000006, -73.99290623099995)",1.101375
35,"(40.804461994000064, -73.96635462199998)",1.101375
36,"(40.71247105000003, -73.99240483599993)",1.101375
37,"(40.778175055, -73.974535277)",1.101375
38,"(40.72337340800004, -73.99570465599999)",1.101375
39,"(40.72331581000003, -74.00298141899998)",1.101375
40,"(40.804872148, -73.947499068)",1.101375
41,"(40.72323075800006, -73.99921135899997)",1.101375
42,"(40.73832626300003, -73.98772884699997)",1.101375
43,"(40.80489446300004, -73.96247496999997)",1.101375
44,"(40.77823357200003, -73.958630165)",1.101375
45,"(40.74542455200003, -74.00820089599993)",1.101375
46,"(40.71280887000006, -73.99711933699997)",1.101375
47,"(40.80518926800004, -73.96608695599997)",1.101375
48,"(40.749102754, -74.003516723)",1.101375
49,"(40.75745183, -73.972662616)",1.101375
50,"(40.722332625000035, -74.01174799199998)",1.101375
51,"(40.713335886, -73.998176217)",1.101375
52,"(40.82247711600007, -73.95473304099994)",1.101375
53,"(40.71333811900007, -74.01099972199995)",1.101375
54,"(40.806806435000055, -73.93524121099993)",1.101375
55,"(40.78549489200003, -73.97290387899994)",1.101375
